Timestamp,How many jelly beans are in the vase?,"To the nearest minute, how many minutes do you estimate you spent thinking before you decided on your guess?","On a scale of 1 to 5, with 1 being not confident at all and 5 being completely confident, how confident are you in your guess?"
4/18/22 23:29,12,0,5
4/18/22 17:45,17,1,5
4/18/22 21:24,20,0,1
4/18/22 17:35,100,1,2
4/18/22 20:46,128,1,1
4/18/22 19:20,160,2,2
4/18/22 19:38,198,1,4
4/19/22 15:43,210,5,4
4/19/22 3:09,230,4,4
4/19/22 5:07,232,0,1
4/19/22 15:32,238,0,5
4/18/22 18:19,250,3,4
4/19/22 0:02,250,1,3
4/18/22 19:42,278,1,2
4/19/22 22:10,288,1,2
4/19/22 1:18,325,2,3
4/18/22 23:29,341,0,1
4/20/22 21:53,342,1,3
4/18/22 23:20,350,1,2
4/19/22 8:43,350,2,2
4/18/22 17:11,359,0,3
4/18/22 22:37,432,3,2
4/19/22 2:08,438,0,3
4/18/22 20:11,450,1,1
4/19/22 8:27,463,2,2
4/19/22 10:19,475,2,3
4/18/22 23:54,494,1,4
4/18/22 16:55,500,2,3
4/19/22 3:55,500,2,2
4/20/22 23:20,500,1,3
4/18/22 21:40,503,2,2
4/18/22 18:46,517,1,5
4/18/22 17:47,520,1,3
4/18/22 21:58,520,3,3
4/19/22 5:16,522,1,2
4/19/22 1:08,532,3,3
4/18/22 22:56,537,0,1
4/18/22 22:09,540,2,4
4/18/22 20:50,542,1,2
4/18/22 18:52,550,1,3
4/18/22 21:57,550,2,3
4/19/22 4:48,555,2,2
4/18/22 17:54,570,1,2
4/18/22 18:50,580,1,2
4/20/22 11:30,580,2,2
4/19/22 2:33,592,4,2
4/19/22 15:05,600,1,3
4/20/22 4:28,600,2,3
4/18/22 22:52,636,2,1
4/19/22 10:14,649,2,4
4/18/22 22:32,654,2,2
4/18/22 16:58,671,1,1
4/19/22 4:43,680,3,3
4/19/22 6:53,683,1,2
4/19/22 3:54,700,1,4
4/19/22 4:41,700,1,2
4/19/22 8:52,702,1,3
4/19/22 0:14,704,2,3
4/18/22 23:20,714,0,3
4/18/22 18:00,723,1,2
4/18/22 21:25,727,1,3
4/19/22 4:38,742,10,3
4/19/22 3:31,750,1,4
4/19/22 14:16,750,1,1
4/19/22 1:58,756,1,2
4/20/22 21:32,760,1,2
4/18/22 18:15,764,1,1
4/18/22 18:32,768,2,2
4/19/22 3:13,800,1,3
4/18/22 19:04,812,1,2
4/20/22 10:10,840,1,2
4/20/22 12:54,844,2,3
4/19/22 8:33,850,1,4
4/18/22 19:49,853,2,4
4/19/22 13:21,872,1,2
4/19/22 11:03,875,4,1
4/19/22 4:57,900,2,3
4/18/22 16:31,936,1,4
4/18/22 19:33,954,12,2
4/18/22 20:15,954,1,1
4/18/22 19:39,996,1,2
4/18/22 17:26,1000,5,3
4/19/22 3:54,1000,1,2
4/19/22 5:30,1000,1,4
4/19/22 14:53,1000,1,3
4/18/22 17:10,1012,1,2
4/18/22 19:46,1044,3,3
4/18/22 21:44,1100,5,3
4/19/22 4:41,1147,1,3
4/19/22 4:27,1168,3,3
4/18/22 21:07,1200,3,3
4/19/22 3:18,1200,1,4
4/18/22 18:18,1248,3,4
4/18/22 17:11,1313,1,3
4/19/22 5:51,1340,2,3
4/18/22 20:24,1356,1,4
4/19/22 14:17,1365,1,3
4/18/22 17:55,1400,1,3
4/18/22 17:21,1450,5,3
4/19/22 3:48,1469,1,5
4/18/22 18:05,1500,5,3
4/19/22 7:52,1500,2,3
4/18/22 18:32,1760,1,3
4/18/22 20:10,1780,1,2
4/19/22 5:24,1977,3,3
4/18/22 18:10,1990,3,3
4/18/22 17:20,2000,1,4
4/19/22 14:55,2000,1,2
4/18/22 17:47,2070,1,4
4/18/22 23:54,2100,1,2
4/18/22 18:50,2154,1,3
4/19/22 4:01,2207,1,1
4/18/22 20:09,2260,1,4
4/18/22 22:04,2300,2,2
4/19/22 2:26,2300,7,4
4/18/22 18:25,2342,1,4
4/18/22 17:01,2532,3,3
4/18/22 17:39,2700,5,3
4/19/22 0:16,2850,2,2
4/18/22 23:21,2942,1,3
4/18/22 18:31,4221,1,3
4/19/22 16:10,5000,2,3
4/18/22 16:44,8325,0,3
4/19/22 5:00,10369,17,4
4/18/22 18:48,15300,5,2
4/18/22 18:47,40000,1,1
